,time,open,high,low,close,volume,ticker
0,2015-01-05,2800,2800,2760,2790,55888,ACB
1,2015-01-06,2760,2820,2750,2820,89802,ACB
2,2015-01-07,2820,2910,2820,2860,232861,ACB
3,2015-01-08,2860,2870,2830,2870,14880,ACB
4,2015-01-09,2870,2970,2830,2890,693623,ACB
5,2015-01-12,2910,2980,2890,2920,368334,ACB
6,2015-01-13,2920,3040,2920,3010,416006,ACB
7,2015-01-14,3010,3010,2920,2950,300420,ACB
8,2015-01-15,2920,2950,2890,2890,244964,ACB
9,2015-01-16,2910,2920,2860,2890,374204,ACB
10,2015-01-19,2920,2950,2910,2920,230317,ACB
11,2015-01-20,2910,2920,2870,2910,75172,ACB
12,2015-01-21,2910,2920,2870,2890,205371,ACB
13,2015-01-22,2890,2970,2870,2970,300965,ACB
14,2015-01-23,2950,3130,2950,3110,1441874,ACB
15,2015-01-26,3110,3140,3110,3130,307006,ACB
16,2015-01-27,3140,3170,3010,3130,315651,ACB
17,2015-01-28,3110,3310,3070,3280,959871,ACB
18,2015-01-29,3270,3290,3220,3220,429009,ACB
19,2015-01-30,3200,3200,3070,3130,478259,ACB
20,2015-02-02,3110,3140,3050,3050,265344,ACB
21,2015-02-03,3050,3070,2890,2890,827865,ACB
22,2015-02-04,2870,2920,2830,2920,270500,ACB
23,2015-02-05,2920,2980,2920,2920,74461,ACB
24,2015-02-06,2920,2980,2700,2980,245283,ACB
25,2015-02-09,2980,3020,2920,2920,72974,ACB
26,2015-02-10,2910,2980,2910,2950,105679,ACB
27,2015-02-11,2950,3010,2950,2980,90914,ACB
28,2015-02-12,2980,3010,2970,2980,87911,ACB
29,2015-02-13,3010,3110,3010,3050,650359,ACB
30,2015-02-24,3070,3140,3070,3110,140871,ACB
31,2015-02-25,3130,3220,3110,3140,672279,ACB
32,2015-02-26,3140,3170,3090,3140,112327,ACB
33,2015-02-27,3170,3170,3090,3090,64375,ACB
34,2015-03-02,3130,3130,3070,3090,100838,ACB
35,2015-03-03,3130,3130,3070,3070,603931,ACB
36,2015-03-04,3090,3090,3050,3070,412425,ACB
37,2015-03-05,3070,3090,3050,3050,159152,ACB
38,2015-03-06,3050,3110,3040,3090,322073,ACB
39,2015-03-09,3090,3110,3050,3070,159821,ACB
40,2015-03-10,3070,3090,3050,3090,96698,ACB
41,2015-03-11,3090,3140,3090,3110,561767,ACB
42,2015-03-12,3070,3110,3020,3090,47908,ACB
43,2015-03-13,3090,3110,3070,3070,162894,ACB
44,2015-03-16,3090,3090,3050,3070,340462,ACB
45,2015-03-17,3070,3090,3070,3070,118588,ACB
46,2015-03-18,2790,3090,2790,3070,259352,ACB
47,2015-03-19,3090,3280,3070,3070,129073,ACB
48,2015-03-20,3070,3110,3070,3110,116347,ACB
49,2015-03-23,3090,3090,3070,3070,57431,ACB
50,2015-03-24,3070,3070,3040,3050,222685,ACB
51,2015-03-25,3050,3090,3050,3090,122734,ACB
52,2015-03-26,3090,3110,3070,3090,165791,ACB
53,2015-03-27,3090,3090,3050,3050,150742,ACB
54,2015-03-30,3040,3070,3040,3050,187169,ACB
55,2015-03-31,3050,3070,3040,3040,57640,ACB
56,2015-04-01,3040,3050,3010,3010,252663,ACB
57,2015-04-02,3010,3050,3010,3020,159003,ACB
58,2015-04-03,3020,3050,3010,3050,51215,ACB
59,2015-04-06,3050,3050,3040,3050,4952,ACB
60,2015-04-07,3050,3050,3020,3040,46793,ACB
61,2015-04-08,3020,3040,3020,3020,60778,ACB
62,2015-04-09,3020,3020,2980,3010,153488,ACB
63,2015-04-10,3010,3040,3010,3020,26605,ACB
64,2015-04-13,3040,3040,3020,3020,36940,ACB
65,2015-04-14,3010,3020,2980,3020,57719,ACB
66,2015-04-15,3010,3020,2980,3010,42101,ACB
67,2015-04-16,3010,3020,2970,3010,82523,ACB
68,2015-04-17,3010,3020,2980,3020,36935,ACB
69,2015-04-20,3010,3020,2980,3010,44975,ACB
70,2015-04-21,3010,3010,2970,2970,52353,ACB
71,2015-04-22,2970,3020,2970,3010,105481,ACB
72,2015-04-23,3010,3020,2970,3010,39006,ACB
73,2015-04-24,2980,3020,2970,2970,30752,ACB
74,2015-04-27,3040,3070,3040,3050,172955,ACB
75,2015-05-04,3070,3070,2980,2980,16816,ACB
76,2015-05-05,2970,3020,2920,3020,48513,ACB
77,2015-05-06,3020,3050,2980,3020,144990,ACB
78,2015-05-07,3010,3040,2980,3020,121436,ACB
79,2015-05-08,3040,3040,3010,3010,171291,ACB
80,2015-05-11,3020,3040,3010,3020,134947,ACB
81,2015-05-12,3010,3020,2970,3020,59695,ACB
82,2015-05-13,3010,3040,2970,3010,327269,ACB
83,2015-05-14,2980,3050,2980,3040,98453,ACB
84,2015-05-15,3070,3070,3020,3060,68959,ACB
85,2015-05-18,3060,3060,3000,3020,222564,ACB
86,2015-05-19,3060,3070,3020,3040,37354,ACB
87,2015-05-20,3020,3120,3020,3060,96071,ACB
88,2015-05-21,3090,3120,3060,3090,46433,ACB
89,2015-05-22,3090,3120,3060,3060,139779,ACB
90,2015-05-25,3120,3150,3090,3150,401035,ACB
91,2015-05-26,3150,3320,3130,3320,1612511,ACB
92,2015-05-27,3320,3440,3260,3420,833767,ACB
93,2015-05-28,3420,3740,3390,3630,1585442,ACB
94,2015-05-29,3600,3700,3600,3660,805676,ACB
95,2015-06-01,3600,3910,3600,3810,1006223,ACB
96,2015-06-02,3810,3860,3690,3700,1219764,ACB
97,2015-06-03,3700,3760,3690,3740,765768,ACB
98,2015-06-04,3740,4019,3720,3900,1126592,ACB
99,2015-06-05,3900,4120,3900,4100,1201275,ACB
100,2015-06-08,4100,4350,4100,4160,1163634,ACB
101,2015-06-09,4200,4250,4019,4160,1081395,ACB
102,2015-06-10,4100,4160,4010,4160,977147,ACB
103,2015-06-11,4140,4280,4080,4080,807912,ACB
104,2015-06-12,4100,4160,4010,4040,615109,ACB
105,2015-06-15,4040,4160,4040,4140,978956,ACB
106,2015-06-16,4170,4280,4070,4070,859613,ACB
107,2015-06-17,4019,4080,3960,4019,454521,ACB
108,2015-06-18,4019,4160,4019,4080,622294,ACB
109,2015-06-19,4100,4170,4080,4120,385535,ACB
110,2015-06-22,4080,4220,4080,4160,834327,ACB
111,2015-06-23,4160,4220,4140,4140,727502,ACB
112,2015-06-24,4170,4170,4070,4070,643475,ACB
113,2015-06-25,4370,4460,4070,4100,595957,ACB
114,2015-06-26,4080,4140,3980,3980,1009225,ACB
115,2015-06-29,3960,3980,3900,3950,858135,ACB
116,2015-06-30,3950,4080,3900,3900,915176,ACB
117,2015-07-01,3910,3960,3900,3930,508272,ACB
118,2015-07-02,3830,4160,3830,4120,1349683,ACB
119,2015-07-03,4140,4310,4140,4230,1760897,ACB
120,2015-07-06,4280,4440,4250,4440,2519437,ACB
121,2015-07-07,4440,4590,4330,4480,1754487,ACB
122,2015-07-08,4410,4520,4280,4350,1447415,ACB
123,2015-07-09,4280,4350,4250,4310,1152099,ACB
124,2015-07-10,4310,4420,4310,4310,682325,ACB
125,2015-07-13,4310,4380,4280,4330,609504,ACB
126,2015-07-14,4350,4480,4350,4410,2298523,ACB
127,2015-07-15,4440,4440,4280,4280,1158668,ACB
128,2015-07-16,4280,4280,4200,4280,744800,ACB
129,2015-07-17,4250,4280,4170,4170,743928,ACB
130,2015-07-20,4160,4160,4019,4140,1189236,ACB
131,2015-07-21,4080,4160,4010,4019,674566,ACB
132,2015-07-22,4420,4420,3980,4280,525766,ACB
133,2015-07-23,4310,4310,4140,4140,892399,ACB
134,2015-07-24,4140,4230,4120,4160,241877,ACB
135,2015-07-27,4230,4230,4160,4170,537838,ACB
136,2015-07-28,4280,4590,4100,4160,595210,ACB
137,2015-07-29,4120,4170,4120,4120,334121,ACB
138,2015-07-30,4100,4170,4080,4120,338803,ACB
139,2015-07-31,4140,4140,4100,4100,342128,ACB
140,2015-08-03,4100,4100,3900,3950,745685,ACB
141,2015-08-04,3980,3980,3910,3910,435108,ACB
142,2015-08-05,3910,3960,3910,3960,288442,ACB
143,2015-08-06,3980,3980,3900,3900,197343,ACB
