,time,open,high,low,close,volume,ticker
0,2015-01-05,3400,3400,3290,3290,2830,CMG
1,2015-01-06,3290,3290,3260,3290,1630,CMG
2,2015-01-07,3220,3260,3140,3180,2970,CMG
3,2015-01-08,3220,3220,3140,3220,10850,CMG
4,2015-01-09,3140,3260,3110,3260,22140,CMG
5,2015-01-12,3220,3260,3220,3220,16430,CMG
6,2015-01-13,3220,3260,3220,3260,16320,CMG
7,2015-01-14,3260,3440,3220,3440,48040,CMG
8,2015-01-15,3370,3440,3370,3440,41650,CMG
9,2015-01-16,3440,3520,3440,3520,26610,CMG
10,2015-01-19,3520,3560,3480,3480,51720,CMG
11,2015-01-20,3480,3520,3440,3480,15340,CMG
12,2015-01-21,3560,3560,3400,3480,9030,CMG
13,2015-01-22,3520,3560,3440,3560,23800,CMG
14,2015-01-23,3600,3630,3560,3600,62420,CMG
15,2015-01-26,3560,3600,3560,3600,28520,CMG
16,2015-01-27,3600,3600,3480,3560,1430,CMG
17,2015-01-28,3520,3520,3480,3480,22050,CMG
18,2015-01-29,3520,3560,3480,3560,40,CMG
19,2015-01-30,3600,3600,3440,3560,6470,CMG
20,2015-02-02,3440,3480,3400,3400,26010,CMG
21,2015-02-03,3370,3370,3370,3370,19030,CMG
22,2015-02-04,3140,3440,3140,3440,5130,CMG
23,2015-02-05,3440,3440,3440,3440,17500,CMG
24,2015-02-06,3330,3440,3220,3440,10070,CMG
25,2015-02-09,3400,3400,3400,3400,750,CMG
26,2015-02-10,3440,3560,3440,3560,59500,CMG
27,2015-02-11,3520,3560,3440,3560,21660,CMG
28,2015-02-12,3480,3600,3480,3600,12150,CMG
29,2015-02-13,3480,3520,3400,3520,17210,CMG
30,2015-02-24,3560,3560,3560,3560,1020,CMG
31,2015-02-25,3480,3520,3370,3520,29670,CMG
32,2015-02-26,3400,3520,3400,3520,1070,CMG
33,2015-02-27,3520,3520,3440,3520,5400,CMG
34,2015-03-02,3520,3520,3520,3520,330,CMG
35,2015-03-03,3480,3520,3480,3520,22910,CMG
36,2015-03-04,3480,3520,3480,3520,36930,CMG
37,2015-03-05,3520,3520,3400,3440,67670,CMG
38,2015-03-06,3520,3560,3440,3560,54900,CMG
39,2015-03-09,3600,3600,3440,3520,13370,CMG
40,2015-03-10,3520,3560,3520,3560,106790,CMG
41,2015-03-11,3560,3790,3560,3790,545700,CMG
42,2015-03-12,3980,4050,3980,4050,151480,CMG
43,2015-03-13,4120,4160,3900,3980,92630,CMG
44,2015-03-16,3980,3980,3790,3830,184560,CMG
45,2015-03-17,3830,4050,3790,4010,220730,CMG
46,2015-03-18,4090,4090,3980,4010,139240,CMG
47,2015-03-19,4050,4240,4050,4120,181920,CMG
48,2015-03-20,4120,4390,4120,4310,367200,CMG
49,2015-03-23,4390,4390,4200,4310,139940,CMG
50,2015-03-24,4280,4280,4160,4200,194490,CMG
51,2015-03-25,4200,4280,4120,4200,72090,CMG
52,2015-03-26,4120,4470,4090,4350,136480,CMG
53,2015-03-27,4430,4430,4200,4240,43070,CMG
54,2015-03-30,4280,4310,4240,4280,162080,CMG
55,2015-03-31,4280,4310,4280,4280,69920,CMG
56,2015-04-01,4160,4280,4160,4160,89380,CMG
57,2015-04-02,4200,4200,4090,4200,72880,CMG
58,2015-04-03,4120,4280,4120,4200,79480,CMG
59,2015-04-06,4120,4200,4120,4160,29450,CMG
60,2015-04-07,4200,4390,4200,4310,210850,CMG
61,2015-04-08,4390,4430,4310,4390,49690,CMG
62,2015-04-09,4430,4470,4350,4470,143230,CMG
63,2015-04-10,4510,4540,4430,4540,161500,CMG
64,2015-04-13,4540,4770,4540,4660,502000,CMG
65,2015-04-14,4660,4700,4540,4580,188780,CMG
66,2015-04-15,4580,4660,4510,4580,168830,CMG
67,2015-04-16,4580,4580,4510,4510,135100,CMG
68,2015-04-17,4510,4700,4510,4620,124790,CMG
69,2015-04-20,4580,4620,4540,4540,91050,CMG
70,2015-04-21,4540,4580,4350,4390,283860,CMG
71,2015-04-22,4430,4430,4350,4430,107020,CMG
72,2015-04-23,4390,4470,4390,4430,57460,CMG
73,2015-04-24,4430,4470,4390,4430,73000,CMG
74,2015-04-27,4430,4470,4430,4430,64880,CMG
75,2015-05-04,4390,4430,4310,4310,104180,CMG
76,2015-05-05,4310,4510,4280,4510,54160,CMG
77,2015-05-06,4540,4540,4390,4430,26250,CMG
78,2015-05-07,4470,4470,4430,4430,78710,CMG
79,2015-05-08,4470,4540,4430,4540,42180,CMG
80,2015-05-11,4840,4840,4730,4730,201170,CMG
81,2015-05-12,4730,4730,4540,4620,68920,CMG
82,2015-05-13,4660,4700,4540,4700,55110,CMG
83,2015-05-14,4660,4660,4580,4660,86860,CMG
84,2015-05-15,4660,4660,4540,4620,43930,CMG
85,2015-05-18,4620,4700,4510,4620,233630,CMG
86,2015-05-19,4620,4920,4620,4920,568860,CMG
87,2015-05-20,4920,5230,4880,5190,694260,CMG
88,2015-05-21,5190,5300,5190,5260,335800,CMG
89,2015-05-22,5260,5490,5150,5380,388320,CMG
90,2015-05-25,5490,5520,5300,5420,208230,CMG
91,2015-05-26,5300,5380,5190,5300,351060,CMG
92,2015-05-27,5300,5640,5300,5600,764490,CMG
93,2015-05-28,5600,5790,5520,5710,459330,CMG
94,2015-05-29,5710,5710,5490,5490,227260,CMG
95,2015-06-01,5420,5490,5260,5260,286210,CMG
96,2015-06-02,5260,5600,5260,5450,470810,CMG
97,2015-06-03,5490,5600,5380,5420,318260,CMG
98,2015-06-04,5450,5520,5420,5450,154100,CMG
99,2015-06-05,5450,5520,5420,5490,205080,CMG
100,2015-06-08,5450,5450,5300,5420,246530,CMG
101,2015-06-09,5450,5450,5340,5420,306140,CMG
102,2015-06-10,5420,5420,5340,5380,135060,CMG
103,2015-06-11,5380,5710,5340,5710,536320,CMG
104,2015-06-12,5790,6020,5790,6020,310250,CMG
105,2015-06-15,5750,5980,5750,5870,67040,CMG
106,2015-06-16,5910,5910,5710,5710,169450,CMG
107,2015-06-17,5600,5790,5600,5710,157540,CMG
108,2015-06-18,5710,5870,5710,5750,111280,CMG
109,2015-06-19,5750,5910,5750,5910,119700,CMG
110,2015-06-22,5910,5980,5830,5980,150860,CMG
111,2015-06-23,5910,6060,5910,5980,58630,CMG
112,2015-06-24,5980,5980,5940,5980,58730,CMG
113,2015-06-25,5940,6100,5940,6020,234040,CMG
114,2015-06-26,6020,6100,5940,6060,125060,CMG
115,2015-06-29,6060,6060,5910,5980,44530,CMG
116,2015-06-30,5910,5980,5790,5910,134290,CMG
117,2015-07-01,5910,5910,5520,5680,148920,CMG
118,2015-07-02,5680,5750,5680,5750,43560,CMG
119,2015-07-03,5790,5830,5640,5640,202080,CMG
120,2015-07-06,5710,5710,5600,5600,39630,CMG
121,2015-07-07,5600,5830,5600,5680,158270,CMG
122,2015-07-08,5680,5680,5600,5600,128630,CMG
123,2015-07-09,5560,5680,5520,5600,56590,CMG
124,2015-07-10,5600,5680,5520,5600,105740,CMG
125,2015-07-13,5490,5600,5450,5450,65520,CMG
126,2015-07-14,5420,5600,5420,5600,42030,CMG
127,2015-07-15,5490,5490,5300,5300,189750,CMG
128,2015-07-16,5300,5300,5000,5150,187450,CMG
129,2015-07-17,5150,5490,5150,5450,103610,CMG
130,2015-07-20,5520,5520,5300,5450,61810,CMG
131,2015-07-21,5380,5450,5300,5380,38700,CMG
132,2015-07-22,5150,5420,5150,5260,58400,CMG
133,2015-07-23,5190,5420,5190,5260,25620,CMG
134,2015-07-24,5300,5380,5260,5300,63620,CMG
135,2015-07-27,5450,5450,5230,5230,123600,CMG
136,2015-07-28,5190,5340,5190,5190,46750,CMG
137,2015-07-29,5420,5420,5190,5300,6750,CMG
138,2015-07-30,5340,5340,5110,5300,45770,CMG
139,2015-07-31,5150,5260,5110,5230,22910,CMG
140,2015-08-03,5110,5340,5070,5300,51390,CMG
141,2015-08-04,5190,5300,5190,5190,12660,CMG
142,2015-08-05,5300,5520,5260,5520,150540,CMG
143,2015-08-06,5520,5600,5450,5600,59970,CMG
144,2015-08-07,5680,5680,5600,5640,16110,CMG
145,2015-08-10,5520,5520,5420,5420,108250,CMG
146,2015-08-11,5340,5520,5340,5490,17610,CMG
147,2015-08-12,5420,5490,5340,5490,23510,CMG
148,2015-08-13,5340,5490,5260,5300,42240,CMG
149,2015-08-14,5340,5340,5340,5340,1230,CMG
150,2015-08-17,5150,5420,5150,5420,8010,CMG
151,2015-08-18,5150,5300,5150,5300,25290,CMG
152,2015-08-19,5150,5300,5150,5300,44030,CMG
153,2015-08-20,5150,5260,5030,5230,26950,CMG
154,2015-08-21,5230,5230,5150,5190,20610,CMG
155,2015-08-24,5190,5190,4840,5110,39680,CMG
156,2015-08-25,5070,5070,4800,4920,39400,CMG
157,2015-08-26,4920,5260,4920,5190,19600,CMG
158,2015-08-27,5420,5420,5030,5150,11440,CMG
159,2015-08-28,5150,5380,5150,5150,109460,CMG
160,2015-08-31,5150,5150,5150,5150,0,CMG
161,2015-09-01,5190,5230,5150,5230,246020,CMG
162,2015-09-03,5190,5380,5190,5300,380020,CMG
163,2015-09-04,5260,5380,5260,5340,13110,CMG
164,2015-09-07,5150,5260,5150,5260,1100,CMG
165,2015-09-08,5260,5260,5110,5260,9370,CMG
166,2015-09-09,5150,5260,5070,5070,51480,CMG
167,2015-09-10,5070,5110,5030,5030,44240,CMG
168,2015-09-11,5030,5230,5000,5230,11400,CMG
169,2015-09-14,5190,5190,5070,5150,420,CMG
170,2015-09-15,5110,5150,4880,4920,29690,CMG
171,2015-09-16,4920,5070,4920,5070,11100,CMG
172,2015-09-17,5070,5070,5000,5000,7110,CMG
173,2015-09-18,5110,5230,4920,5230,34360,CMG
174,2015-09-21,4960,5190,4960,5110,18570,CMG
175,2015-09-22,5030,5190,5030,5150,121020,CMG
176,2015-09-23,5030,5230,5030,5150,80890,CMG
177,2015-09-24,5150,5380,5150,5380,147910,CMG
178,2015-09-25,5340,5450,5260,5300,68100,CMG
179,2015-09-28,5380,5380,5230,5230,16480,CMG
180,2015-09-29,5190,5300,5190,5300,6510,CMG
181,2015-09-30,5260,5380,5110,5380,32940,CMG
182,2015-10-01,5380,5380,5300,5300,9990,CMG
183,2015-10-02,5150,5340,5150,5260,77120,CMG
184,2015-10-05,5150,5300,5150,5230,15980,CMG
185,2015-10-06,5230,5340,5230,5340,59660,CMG
186,2015-10-07,5420,5420,5230,5230,40630,CMG
187,2015-10-08,5260,5260,5110,5150,38440,CMG
188,2015-10-09,5260,5300,5110,5150,50320,CMG
189,2015-10-12,5150,5300,5150,5260,21550,CMG
190,2015-10-13,5150,5190,5150,5150,16180,CMG
191,2015-10-14,5070,5150,5070,5150,4900,CMG
192,2015-10-15,5150,5190,5110,5190,14280,CMG
193,2015-10-16,5230,5520,5230,5520,217330,CMG
194,2015-10-19,5560,5790,5520,5680,59610,CMG
195,2015-10-20,5680,5680,5490,5490,35830,CMG
196,2015-10-21,5490,5560,5450,5560,69700,CMG
197,2015-10-22,5490,5870,5490,5790,140280,CMG
198,2015-10-23,5870,5870,5680,5750,97400,CMG
199,2015-10-26,5750,5870,5680,5790,146840,CMG
200,2015-10-27,5830,5830,5710,5710,39640,CMG
201,2015-10-28,5680,5830,5680,5830,162330,CMG
202,2015-10-29,5750,5830,5750,5750,102380,CMG
203,2015-10-30,5830,5830,5710,5790,44980,CMG
204,2015-11-02,5790,5790,5600,5600,52360,CMG
205,2015-11-03,5520,5680,5520,5680,11310,CMG
206,2015-11-04,5640,5640,5450,5520,44170,CMG
207,2015-11-05,5490,5560,5420,5520,60330,CMG
208,2015-11-06,5520,5520,5420,5420,8230,CMG
209,2015-11-09,5420,5490,5380,5420,27680,CMG
210,2015-11-10,5520,5600,5490,5490,44280,CMG
211,2015-11-11,5520,5520,5450,5490,5850,CMG
212,2015-11-12,5450,5520,5420,5490,24100,CMG
213,2015-11-13,5450,5450,5300,5380,16050,CMG
214,2015-11-16,5450,5680,5450,5600,48140,CMG
215,2015-11-17,5490,5680,5490,5560,7970,CMG
216,2015-11-18,5560,5560,5450,5450,25910,CMG
217,2015-11-19,5490,5490,5380,5450,2900,CMG
218,2015-11-20,5420,5490,5420,5490,34900,CMG
219,2015-11-23,5450,5520,5450,5450,35370,CMG
220,2015-11-24,5300,5600,5300,5520,6110,CMG
221,2015-11-25,5520,5560,5450,5560,13730,CMG
222,2015-11-26,5560,5560,5380,5380,6040,CMG
223,2015-11-27,5380,5420,5380,5380,3010,CMG
224,2015-11-30,5420,5420,5300,5380,3280,CMG
225,2015-12-01,5380,5380,5300,5380,6160,CMG
226,2015-12-02,5300,5490,5300,5490,3020,CMG
227,2015-12-03,5420,5420,5380,5380,14490,CMG
228,2015-12-04,5300,5380,5300,5300,33060,CMG
229,2015-12-07,5230,5300,5230,5230,13440,CMG
230,2015-12-08,5300,5300,5150,5260,17990,CMG
231,2015-12-09,5230,5230,5190,5230,6050,CMG
232,2015-12-10,5110,5230,5110,5230,24720,CMG
233,2015-12-11,5150,5190,5110,5110,3390,CMG
234,2015-12-14,5150,5190,5150,5190,800,CMG
235,2015-12-15,5150,5190,5110,5190,3320,CMG
236,2015-12-16,5110,5190,5070,5190,27030,CMG
237,2015-12-17,5300,5520,5300,5520,126590,CMG
238,2015-12-18,5600,5680,5490,5490,58980,CMG
239,2015-12-21,5450,5450,5380,5380,7080,CMG
240,2015-12-22,5380,5380,5300,5380,19390,CMG
241,2015-12-23,5380,5420,5300,5340,51240,CMG
242,2015-12-24,5340,5380,5300,5380,28120,CMG
243,2015-12-25,5300,5420,5300,5340,8760,CMG
244,2015-12-28,5340,5340,5300,5340,39520,CMG
245,2015-12-29,5340,5340,5260,5260,41530,CMG
246,2015-12-30,5300,5490,5300,5490,72090,CMG
247,2015-12-31,5380,5640,5340,5640,83490,CMG
248,2016-01-04,5380,5520,5300,5520,12990,CMG
249,2016-01-05,5420,5420,5300,5300,17240,CMG
250,2016-01-06,5300,5420,5260,5420,27330,CMG
251,2016-01-07,5300,5300,5230,5230,14100,CMG
252,2016-01-08,5230,5230,5070,5230,7370,CMG
253,2016-01-11,5150,5260,5150,5260,5590,CMG
254,2016-01-12,5230,5300,5230,5300,12940,CMG
255,2016-01-13,5420,5420,5230,5230,16580,CMG
256,2016-01-14,5230,5230,5150,5230,3560,CMG
257,2016-01-15,5230,5230,5190,5190,13210,CMG
258,2016-01-18,5030,5110,4840,5110,21010,CMG
259,2016-01-19,5070,5110,5070,5110,1160,CMG
260,2016-01-20,5030,5070,4960,4960,39490,CMG
261,2016-01-21,5190,5190,4880,5000,17970,CMG
262,2016-01-22,4920,5000,4920,4960,10620,CMG
263,2016-01-25,5110,5150,5070,5150,79460,CMG
264,2016-01-26,5150,5260,5110,5260,38650,CMG
265,2016-01-27,5260,5340,5260,5260,90190,CMG
266,2016-01-28,5300,5420,5230,5300,47130,CMG
267,2016-01-29,5230,5380,5230,5380,5210,CMG
268,2016-02-01,5380,5380,5380,5380,0,CMG
269,2016-02-02,5380,5380,5300,5300,77490,CMG
270,2016-02-03,5300,5340,5300,5340,27870,CMG
271,2016-02-04,5340,5340,5340,5340,44620,CMG
272,2016-02-05,5300,5490,5300,5490,192650,CMG
273,2016-02-15,5450,5450,5380,5420,2170,CMG
274,2016-02-16,5420,5790,5420,5790,324010,CMG
275,2016-02-17,5910,5980,5870,5940,130860,CMG
276,2016-02-18,6140,6140,5870,5870,64080,CMG
277,2016-02-19,5870,6020,5790,5790,230360,CMG
278,2016-02-22,5790,5910,5790,5830,35110,CMG
279,2016-02-23,5830,5910,5790,5830,95120,CMG
280,2016-02-24,5830,5830,5710,5830,40890,CMG
281,2016-02-25,5830,6060,5830,5980,222310,CMG
282,2016-02-26,5980,5980,5940,5980,41650,CMG
283,2016-02-29,5980,6060,5830,5910,84390,CMG
284,2016-03-01,5870,5910,5750,5910,67850,CMG
285,2016-03-02,5940,5940,5830,5870,23400,CMG
286,2016-03-03,5910,6240,5910,6240,333430,CMG
287,2016-03-04,6390,6390,6240,6360,110980,CMG
288,2016-03-07,6390,6430,6360,6390,73700,CMG
289,2016-03-08,6360,6360,6140,6320,94330,CMG
290,2016-03-09,6170,6320,6170,6170,50900,CMG
291,2016-03-10,6170,6210,6140,6170,57560,CMG
292,2016-03-11,6170,6430,6170,6360,126560,CMG
293,2016-03-14,6240,6360,6240,6360,18030,CMG
294,2016-03-15,6210,6360,6210,6240,38990,CMG
295,2016-03-16,6170,6240,6060,6240,62870,CMG
296,2016-03-17,6170,6240,6170,6170,33040,CMG
297,2016-03-18,6100,6240,6100,6170,15030,CMG
298,2016-03-21,6140,6170,6140,6140,34310,CMG
299,2016-03-22,6060,6170,6020,6170,73750,CMG
300,2016-03-23,6170,6170,6060,6170,32250,CMG
301,2016-03-24,6100,6140,6100,6100,15600,CMG
302,2016-03-25,6020,6060,6020,6020,33970,CMG
303,2016-03-28,6100,6100,5980,6060,48990,CMG
304,2016-03-29,6060,6060,5980,6060,7490,CMG
305,2016-03-30,6060,6100,5940,6060,16380,CMG
306,2016-03-31,5980,6060,5910,5910,7570,CMG
307,2016-04-01,5910,5980,5790,5790,26570,CMG
308,2016-04-04,5830,5870,5490,5490,23200,CMG
309,2016-04-05,5680,5750,5600,5640,10350,CMG
310,2016-04-06,5640,5680,5490,5600,29200,CMG
311,2016-04-07,5680,5910,5680,5790,14230,CMG
312,2016-04-08,5790,5790,5680,5750,2390,CMG
313,2016-04-11,5910,5910,5710,5750,17230,CMG
314,2016-04-12,5750,5750,5520,5520,24350,CMG
315,2016-04-13,5520,5560,5490,5520,23270,CMG
316,2016-04-14,5450,5560,5450,5560,12090,CMG
317,2016-04-15,5560,5640,5560,5560,21000,CMG
318,2016-04-19,5640,5640,5490,5560,12180,CMG
319,2016-04-20,5450,5520,5380,5520,18810,CMG
320,2016-04-21,5830,5830,5520,5640,25800,CMG
321,2016-04-22,5830,5830,5680,5680,26970,CMG
322,2016-04-25,5680,5750,5680,5750,47920,CMG
323,2016-04-26,5750,5790,5520,5560,32690,CMG
324,2016-04-27,5520,5640,5520,5640,13850,CMG
325,2016-04-28,5520,5600,5490,5600,16010,CMG
326,2016-04-29,5520,5600,5490,5490,28740,CMG
327,2016-05-04,5490,5520,5490,5520,11430,CMG
328,2016-05-05,5520,5600,5490,5560,31790,CMG
329,2016-05-06,5560,5750,5560,5640,26820,CMG
330,2016-05-09,5560,5640,5560,5640,230,CMG
331,2016-05-10,5600,5600,5600,5600,1200,CMG
332,2016-05-11,5600,5640,5520,5560,27130,CMG
333,2016-05-12,5640,5680,5520,5680,30420,CMG
334,2016-05-13,5520,5710,5520,5680,39160,CMG
335,2016-05-16,5680,5680,5680,5680,650,CMG
336,2016-05-17,5680,5830,5680,5830,41430,CMG
337,2016-05-18,5830,5870,5790,5830,8300,CMG
338,2016-05-19,5830,5830,5640,5680,6010,CMG
339,2016-05-20,5750,5750,5750,5750,1000,CMG
340,2016-05-23,5750,5750,5750,5750,1000,CMG
341,2016-05-24,5710,5710,5680,5710,2300,CMG
342,2016-05-25,5680,5680,5600,5640,27000,CMG
343,2016-05-26,5680,5680,5560,5640,5390,CMG
344,2016-05-27,5680,5680,5680,5680,300,CMG
345,2016-05-30,5520,5710,5520,5680,10820,CMG
346,2016-05-31,5680,5680,5680,5680,12520,CMG
347,2016-06-01,5600,5680,5600,5680,5820,CMG
348,2016-06-02,5640,5640,5560,5640,10640,CMG
349,2016-06-03,5640,5640,5560,5640,6490,CMG
350,2016-06-06,5680,5680,5600,5680,5600,CMG
351,2016-06-07,5910,5910,5490,5710,11990,CMG
352,2016-06-08,5870,5870,5560,5560,140,CMG
353,2016-06-09,5600,5600,5490,5600,7600,CMG
354,2016-06-10,5520,5600,5520,5520,48600,CMG
355,2016-06-13,5640,5710,5640,5680,44290,CMG
356,2016-06-14,5680,5680,5640,5640,11140,CMG
357,2016-06-15,5640,5640,5520,5640,12200,CMG
358,2016-06-16,5520,5560,5490,5490,26440,CMG
359,2016-06-17,5600,5600,5420,5560,9450,CMG
360,2016-06-20,5560,5560,5450,5490,35010,CMG
361,2016-06-21,5450,5490,5380,5490,21310,CMG
362,2016-06-22,5450,5490,5420,5490,34380,CMG
363,2016-06-23,5450,5450,5300,5300,50950,CMG
364,2016-06-24,5300,5300,4960,5110,32130,CMG
365,2016-06-27,4920,5110,4880,4960,13160,CMG
366,2016-06-28,5070,5260,5000,5260,14720,CMG
367,2016-06-29,5520,5520,5450,5450,880,CMG
368,2016-06-30,5300,5490,5300,5490,16420,CMG
369,2016-07-01,5490,5490,5300,5300,6220,CMG
370,2016-07-04,5150,5450,5150,5420,3470,CMG
371,2016-07-05,5190,5380,5190,5380,44060,CMG
372,2016-07-06,5340,5380,5340,5380,7140,CMG
373,2016-07-07,5150,5420,5150,5380,14690,CMG
374,2016-07-08,5300,5340,5230,5230,5150,CMG
375,2016-07-11,5230,5300,5230,5260,10000,CMG
376,2016-07-12,5230,5380,5230,5380,3180,CMG
377,2016-07-13,5190,5380,5190,5260,38510,CMG
378,2016-07-14,5260,5340,5190,5340,95600,CMG
379,2016-07-15,5340,5380,5260,5340,33090,CMG
380,2016-07-18,5340,5340,5340,5340,0,CMG
381,2016-07-19,5230,5260,5150,5150,6360,CMG
