,time,open,high,low,close,volume,ticker
0,2015-01-05,9960,9960,9700,9790,18030,MWG
1,2015-01-06,9790,9790,9610,9790,37970,MWG
2,2015-01-07,9700,9790,9610,9610,10590,MWG
3,2015-01-08,9700,9790,9610,9700,47040,MWG
4,2015-01-09,9610,9870,9610,9870,46170,MWG
5,2015-01-12,9790,10060,9790,9960,104230,MWG
6,2015-01-13,9960,10430,9960,10430,290500,MWG
7,2015-01-14,10330,10780,10330,10780,244240,MWG
8,2015-01-15,10870,10960,10780,10870,76470,MWG
9,2015-01-16,10870,10870,10520,10520,116950,MWG
10,2015-01-19,10690,10690,10430,10690,155000,MWG
11,2015-01-20,10690,10960,10690,10870,170300,MWG
12,2015-01-21,10870,10960,10780,10870,132190,MWG
13,2015-01-22,10870,10870,10780,10780,48110,MWG
14,2015-01-23,10690,10870,10690,10870,83030,MWG
15,2015-01-26,10870,10870,10690,10690,69470,MWG
16,2015-01-27,10690,10870,10690,10780,74430,MWG
17,2015-01-28,10780,11050,10690,11050,153520,MWG
18,2015-01-29,11050,11330,10960,11330,189640,MWG
19,2015-01-30,11330,11420,11140,11240,106070,MWG
20,2015-02-02,11240,11240,10870,10870,63650,MWG
21,2015-02-03,10780,10960,10780,10870,24450,MWG
22,2015-02-04,10780,11240,10780,11140,95510,MWG
23,2015-02-05,11140,11420,11140,11420,157180,MWG
24,2015-02-06,11420,11600,11420,11510,90910,MWG
25,2015-02-09,11600,11790,11600,11700,153370,MWG
26,2015-02-10,11600,11790,11600,11600,117430,MWG
27,2015-02-11,11600,11790,11510,11790,256600,MWG
28,2015-02-12,11700,11790,11700,11790,59110,MWG
29,2015-02-13,11790,11790,11600,11790,15410,MWG
30,2015-02-24,11950,12600,11880,12600,312160,MWG
31,2015-02-25,12690,13410,12690,12780,121560,MWG
32,2015-02-26,12780,12960,12690,12870,98800,MWG
33,2015-02-27,12960,12960,12140,12140,90050,MWG
34,2015-03-02,11790,11880,11330,11600,101370,MWG
35,2015-03-03,11420,11880,11420,11600,153750,MWG
36,2015-03-04,11700,11790,11510,11700,108250,MWG
37,2015-03-05,11700,11700,11330,11420,144100,MWG
38,2015-03-06,11330,11330,11050,11140,71020,MWG
39,2015-03-09,11140,11790,10960,11140,42500,MWG
40,2015-03-10,10960,11140,10610,10610,58060,MWG
41,2015-03-11,10610,10610,9960,10330,78590,MWG
42,2015-03-12,10240,10870,10240,10780,33340,MWG
43,2015-03-13,11240,11420,10780,10780,55520,MWG
44,2015-03-16,10870,10870,10610,10610,18510,MWG
45,2015-03-17,10780,10870,10610,10690,60710,MWG
46,2015-03-18,10690,10780,10610,10690,860,MWG
47,2015-03-19,10690,10690,10520,10610,13300,MWG
48,2015-03-20,10780,10780,10520,10610,17360,MWG
49,2015-03-23,10610,10610,10330,10430,21570,MWG
50,2015-03-24,10610,10610,10150,10330,30000,MWG
51,2015-03-25,10520,10520,10150,10240,11140,MWG
52,2015-03-26,10240,10240,9960,9960,21600,MWG
53,2015-03-27,9960,9960,9700,9700,32530,MWG
54,2015-03-30,9700,9960,9700,9700,22330,MWG
55,2015-03-31,9790,9870,9700,9700,19830,MWG
56,2015-04-01,9870,9870,9610,9790,16950,MWG
57,2015-04-02,9700,9790,9700,9700,15600,MWG
58,2015-04-03,9700,9790,9610,9700,6960,MWG
59,2015-04-06,9700,9700,9510,9510,5750,MWG
60,2015-04-07,9510,9870,9510,9790,17110,MWG
61,2015-04-08,9700,9960,9700,9790,28090,MWG
62,2015-04-09,9790,9870,9700,9700,12240,MWG
63,2015-04-10,9960,9960,9700,9700,15410,MWG
64,2015-04-13,9790,9790,9700,9790,18220,MWG
65,2015-04-14,9610,9790,9610,9790,7010,MWG
66,2015-04-15,9700,9700,9700,9700,5810,MWG
67,2015-04-16,9790,9790,9610,9700,9680,MWG
68,2015-04-17,9700,9700,9610,9700,8490,MWG
